id;cost;name;usebefore;type;storage
5469e2ea-61c2-4a49-8bbc-c2a67ee2b4a7;€86,75;Brownies - Two Bite, Chocolate;7/29/2020;Alcohol;normal
245f1f02-9e6f-4474-850a-dd6ff0ee59b3;€67,18;Pasta - Gnocchi, Potato;11/16/2020;Fruits;normal
091a66c0-692d-40cb-b0e5-7358c16539a4;€38,70;Butter Balls Salted;1/18/2020;Vegetables;freezer
fa16d70d-9c34-403a-b8c0-0662e197a3c7;€46,30;Bacardi Mojito;12/4/2019;Fruits;normal
bae53b9c-a7ff-407d-93e4-c59be5e6774a;€86,85;Beef - Tenderloin - Aa;2/22/2020;Alcohol;normal
b3f032f1-e87c-4633-9ba9-10917e893ff5;€65,92;Wine - Dubouef Macon - Villages;11/6/2020;Fruits;normal
58bc5558-9e8f-4c7f-8b53-f3d8bb858460;€87,75;Chicken - Bones;10/3/2020;Sweets;freezer
2c51da6d-f889-4909-9ed6-b909eee55dce;€15,86;Kellogs All Bran Bars;12/22/2019;Fruits;fridge
e95151a2-70c1-4ed6-9d58-e7cfada857cf;€21,54;Yogurt - Blueberry, 175 Gr;4/20/2020;Sweets;freezer
c4aeb789-da44-4212-b5d2-f48fdedfc7f6;€38,46;Wine - White, Pinot Grigio;6/21/2020;Sweets;normal
24b9ab95-0c98-4cd8-9606-099904e21f7b;€53,64;Noodles - Steamed Chow Mein;2/20/2020;Sweets;fridge
8eb67fe1-78e3-4a41-ab1a-800f13c5bb14;€70,94;Wine - Chateauneuf Du Pape;5/3/2020;Sweets;normal
e26fd786-65f3-40e0-9fef-6df9942c60e6;€98,22;Cheese - Perron Cheddar;12/6/2019;Fruits;fridge
39349248-91e1-4426-bfd8-44fd19a0623f;€0,95;Eggwhite Frozen;6/22/2020;Vegetables;fridge
c51a368d-ffb4-456b-932f-02886672e14a;€76,68;Mushroom - Shitake, Dry;1/25/2020;Alcohol;normal
de3dbee5-f0ea-4fb3-bd03-b612cc6b06dd;€66,39;Toamtoes 6x7 Select;1/22/2020;Sweets;freezer
ad393c51-7679-4503-b7b8-9fb598d23682;€45,18;Beef - Eye Of Round;10/10/2020;Alcohol;normal
e4c8104a-81bd-41b0-a968-00b1a52d3a61;€31,98;Plate Pie Foil;12/19/2019;Vegetables;normal
fd7c6c8d-2bad-49f8-986e-1759fa735013;€83,45;Wine - Rhine Riesling Wolf Blass;9/19/2020;Sweets;freezer
6cf5afd3-802b-4661-9957-a4adbacd08f7;€8,34;Tamarind Paste;8/9/2020;Fruits;freezer
f42ca245-ecc5-405e-8160-483388fce6e1;€66,85;Venison - Striploin;8/29/2020;Alcohol;freezer
1096f608-9263-40c2-ab8a-48770b5b861f;€14,56;Juice - Lime;6/28/2020;Alcohol;freezer
b1d39c01-4f30-4d9e-af8d-a3a3a062aa64;€10,46;Transfer Sheets;12/26/2019;Alcohol;freezer
bc598fe7-5e03-4dbc-b9c6-97b73234e311;€93,51;Green Scrubbie Pad H.duty;2/24/2020;Sweets;normal
0830acaa-8596-4fd5-993a-1efa6acaf17a;€93,41;Potatoes - Purple, Organic;4/20/2020;Vegetables;fridge
0b3a780c-8bc4-486e-9a97-146fbe3eda20;€37,48;Langers - Ruby Red Grapfruit;12/2/2019;Alcohol;freezer
1be267d0-cec8-4680-9dfe-6aa48f32007b;€42,88;Cactus Pads;6/19/2020;Vegetables;normal
bc925a94-5e6a-479e-816a-221b18b0d764;€74,21;Crab - Claws, Snow 16 - 24;5/12/2020;Vegetables;freezer
e3ad6ff0-fb4e-4e38-991d-1dc1197e602e;€48,60;Wine - White, Antinore Orvieto;4/9/2020;Vegetables;fridge
d85d846e-9b2c-41e3-b66f-e0d4d80b4a9f;€70,52;Maintenance Removal Charge;8/7/2020;Fruits;normal
b34c2942-b1b0-4b39-ac9c-ab6351715541;€89,23;Oregano - Dry, Rubbed;7/17/2020;Fruits;freezer
96c862b0-c4e8-479e-bdd4-89248785db0c;€25,34;Juice - Lime;8/2/2020;Vegetables;normal
e88ab97f-2900-4b87-ad88-65a445343f54;€89,00;Sage - Rubbed;11/25/2019;Fruits;normal
aa45e798-523f-4146-a48e-039f0d672971;€96,26;Sword Pick Asst;1/1/2020;Fruits;normal
1e97e35d-7036-4329-96ac-bc43cfd14f3a;€71,09;Fenngreek Seed;4/25/2020;Fruits;fridge
9c0a11b7-4e7c-4d9e-9177-e709f079cfbb;€72,35;Bread - French Baquette;7/19/2020;Vegetables;fridge
5275175b-9ee4-4577-ba6e-2b3c4429a8d7;€9,61;Lamb - Leg, Diced;3/4/2020;Alcohol;normal
7d43199e-a801-4ea5-82ae-51aabcda524f;€33,67;Sambuca - Ramazzotti;8/19/2020;Fruits;normal
e9422175-8c3e-4174-907e-8de70c90bd62;€4,09;Ginger - Crystalized;3/12/2020;Fruits;freezer
e4fa8b26-72b1-4758-967d-70d2865a345d;€53,65;Crab - Soft Shell;3/5/2020;Vegetables;fridge
aa2d58cf-50ef-4cf2-85c5-925497629353;€44,63;Trout - Rainbow, Frozen;3/28/2020;Vegetables;fridge
68b3da91-a1ff-4855-9d59-4b4150ccb81c;€42,84;Oranges;9/15/2020;Fruits;freezer
bdff2808-e071-43fc-967e-71d7eef0c0ba;€91,27;Bacon Strip Precooked;3/26/2020;Fruits;normal
e78f189c-7ba5-448b-85a9-f060c85c139d;€68,63;Nut - Walnut, Pieces;2/3/2020;Sweets;normal
679cdbe4-f493-4855-81a7-2c5477510375;€90,61;Cactus Pads;9/6/2020;Sweets;normal
8f6884da-a301-43f8-a814-3831d3a79d49;€37,00;Soup - Boston Clam Chowder;3/20/2020;Alcohol;freezer
8ceda725-1794-424e-91eb-46a7190eac86;€66,98;Island Oasis - Peach Daiquiri;6/29/2020;Fruits;normal
04bee443-8dfc-481b-826d-8544b1682c0b;€74,14;Tea - Herbal I Love Lemon;1/3/2020;Fruits;fridge
82906ab1-a9e8-4190-a640-dcc24c550cb5;€12,27;Pepper - Paprika, Spanish;8/23/2020;Sweets;normal
5df0ac2a-757e-498b-8f11-3c90fc4c060d;€58,63;Beef - Top Sirloin;8/16/2020;Fruits;normal
7dcc5c51-437e-4ba1-a49f-45bf16ad30bf;€12,55;Pork - Backs - Boneless;3/11/2020;Vegetables;fridge
4d4e33a2-40c9-456e-b9e1-e5fbec9a2694;€96,70;Juice Peach Nectar;3/7/2020;Fruits;freezer
e3f59543-84ef-4c01-bb7a-5c84c4636214;€51,97;Gatorade - Lemon Lime;6/17/2020;Fruits;normal
58828a17-9f44-4f08-a8d8-c9a82e2c04be;€79,27;Tea - Orange Pekoe;5/21/2020;Alcohol;normal
0e090039-4695-4ebf-b5e8-6102ff3a105d;€7,63;Chicken - White Meat, No Tender;6/19/2020;Fruits;normal
ce6cf870-3b75-466a-8026-61a5c1fb1a65;€15,49;Calypso - Strawberry Lemonade;8/14/2020;Vegetables;normal
9e4543de-556d-4644-b928-d7676d8a77ae;€85,94;Chips Potato Swt Chilli Sour;10/2/2020;Fruits;normal
e7f4cdc2-a610-4ce7-aad9-f1886e9427af;€82,90;Grapes - Red;9/29/2020;Vegetables;normal
3864668e-a367-4644-8276-32d752617b38;€73,47;Pastry - French Mini Assorted;5/20/2020;Sweets;normal
14a19b97-ca68-41d6-b7d8-195e55b8f95c;€87,79;Pork Ham Prager;11/26/2019;Alcohol;freezer
ccf02ee2-052a-4d1f-b197-3cb0de553eac;€8,10;Glycerine;8/25/2020;Sweets;freezer
ca559f43-ca9e-4648-bbdb-c9832a2595bc;€46,50;Capon - Whole;12/18/2019;Fruits;normal
c8204de0-319f-4a7c-a08e-1818c49aa63a;€25,69;Chips - Doritos;9/23/2020;Fruits;fridge
23d665dc-c328-451b-9245-dcc76ea52c2e;€23,15;Cheese - Woolwich Goat, Log;10/11/2020;Sweets;freezer
c05a72de-b712-41b6-ab28-0439ff016a69;€20,12;Sauce - Hollandaise;2/23/2020;Sweets;freezer
f6e80e7f-45a5-4c8b-a2e9-84cf04faac8d;€59,67;Bread - Roll, Whole Wheat;9/13/2020;Alcohol;fridge
bdca554a-7888-48a5-b2d4-315b701552dc;€83,72;Beef - Flank Steak;11/4/2020;Alcohol;fridge
69cba7c7-37cc-4ca5-aab2-efac9a4b6bc6;€39,90;Wine - Red, Pelee Island Merlot;10/19/2020;Fruits;normal
088cb547-1a7f-46ca-a944-5c776bae9c0e;€0,58;Turkey Leg With Drum And Thigh;7/15/2020;Sweets;fridge
b3a4cd39-45dd-4ee4-a0d3-781ca1c17850;€51,47;Milk - Skim;12/24/2019;Sweets;normal
6f46f3af-b80f-4b99-8ad0-3b7def77387c;€18,90;Pork - Side Ribs;11/28/2019;Alcohol;normal
fcfef859-e098-4f3f-840c-0fddf0187ec5;€32,97;Bowl 12 Oz - Showcase 92012;12/4/2019;Fruits;normal
7c5e8731-38db-4d09-b8af-c3db536b1939;€52,77;Cheese Cloth No 100;7/19/2020;Vegetables;freezer
015ad0b5-d8c6-441e-9ddc-02f996760c05;€62,42;Potatoes - Pei 10 Oz;2/6/2020;Alcohol;normal
5aa4f6df-2d24-4ec6-bbc6-4ea52cbdb68c;€20,22;Wine - Baron De Rothschild;9/12/2020;Sweets;freezer
0bba97b7-a373-48b3-9243-24fb03c9ee32;€13,84;Soup - Campbells, Beef Barley;10/8/2020;Alcohol;freezer
88804caf-629c-408e-b0d2-a04b25a41aa7;€91,68;Lettuce - Lambs Mash;1/19/2020;Sweets;fridge
31ad2c1c-d6b1-4b48-a426-092f2ad16b6e;€85,78;Lentils - Green Le Puy;9/2/2020;Vegetables;normal
72239326-e9fb-4747-8aaf-3ac31c005570;€54,99;Appetizer - Mushroom Tart;10/15/2020;Sweets;normal
2d46f5a8-ed40-4b2c-9199-ce993e5a300d;€55,51;Beer - True North Lager;5/3/2020;Fruits;fridge
507a9141-602a-4945-ab4b-65cd60cf63cb;€29,84;Coffee - Flavoured;6/27/2020;Sweets;normal
72decb49-2d52-4b1a-973f-c1d803d5b791;€43,30;Bandage - Finger Cots;1/16/2020;Fruits;fridge
eb71d336-6ec0-4dc2-b051-06667cba4dc9;€51,36;Kiwano;2/21/2020;Vegetables;freezer
a3dd96ca-2a15-46a8-ac4e-2e96c9c81132;€17,57;Wine - Prem Select Charddonany;4/1/2020;Fruits;normal
fe8e4423-7b5d-403a-9084-c40a2aea3f7b;€86,35;Milk - Chocolate 500ml;4/19/2020;Vegetables;fridge
d1c6a0cb-75d4-4b0d-ae3a-dd800077d2a4;€67,50;Radish;5/9/2020;Fruits;freezer
e2d812e1-d7a0-461a-b691-9e445016b880;€30,12;Wine - Toasted Head;12/16/2019;Fruits;normal
434e37e5-1fd9-4088-bb47-b5209e65d5dd;€33,39;Parsnip;2/11/2020;Sweets;fridge
54562532-f971-4bf6-8d96-4c1b7e9ab52b;€66,63;Bagel - Everything;1/2/2020;Vegetables;fridge
6dbca933-c0b1-46a8-ac91-f3440f79ddd5;€6,40;Cookie Dough - Chunky;11/7/2020;Vegetables;freezer
1121990f-42e4-424b-a7db-0e5f6e7aad05;€8,26;Artichoke - Fresh;9/25/2020;Alcohol;freezer
2c499039-10bd-409a-9a31-23b921691000;€14,10;Pastry - Carrot Muffin - Mini;6/28/2020;Vegetables;freezer
9d6d2540-e87b-4f09-a218-aa6561cb32ac;€7,64;Beef - Cooked, Corned;11/19/2020;Sweets;normal
5200853e-8253-4a25-84ea-dd84b9760b09;€25,55;Beets - Mini Golden;5/29/2020;Vegetables;freezer
639aa044-a596-4da9-939a-e3381903509e;€76,10;Soup - Campbells, Classic Chix;10/2/2020;Fruits;normal
5483c1d8-9153-47bb-a02d-110474888741;€84,50;Cream - 10%;6/9/2020;Vegetables;normal
a44588d3-9275-4adc-bd59-3a0b787e779c;€58,22;Yogurt - Strawberry, 175 Gr;7/21/2020;Alcohol;fridge
9230bdb5-de6f-482a-886f-4d0541e06f22;€46,10;Arctic Char - Fresh, Whole;11/5/2020;Alcohol;fridge
fe23ef19-4449-4d1f-876a-84da12dff802;€40,13;Wine - Vineland Estate Semi - Dry;8/21/2020;Alcohol;freezer
8bdffdef-021d-4a7c-a7c6-c8bd117705c1;€83,48;Tart - Lemon;3/23/2020;Vegetables;normal
3161357e-f7d3-4c1d-af1c-59612afaed04;€88,02;Coffee - Hazelnut Cream;10/15/2020;Sweets;normal
dbe22dfc-f81c-4441-9835-2c9b4ad0081b;€10,81;Bread - Roll, Soft White Round;8/14/2020;Fruits;normal
48832e60-dde3-48fd-bee9-13aac31284c9;€64,54;Turkey - Breast, Bone - In;7/15/2020;Fruits;freezer
42d7362d-4583-4109-8f39-f93127151f90;€13,19;Worcestershire Sauce;5/14/2020;Fruits;fridge
d7ff5637-bb77-4d19-b19b-1880405ffa1a;€74,89;Sausage - Blood Pudding;11/11/2020;Vegetables;fridge
943fdaa2-a902-445e-b8ee-ee4181a50787;€75,26;Flour - Strong Pizza;7/31/2020;Sweets;fridge
8d2f996a-27c4-4bf8-8538-9e0335c132df;€60,53;Coffee - Flavoured;11/22/2020;Sweets;fridge
5dd60ac3-27a0-40d5-ac8b-b1649a5fbb6d;€55,44;Wine - Sicilia Igt Nero Avola;12/18/2019;Vegetables;fridge
fc2b2ad9-1c61-430a-a4c9-627b3c8dae2f;€45,60;Syrup - Golden, Lyles;6/29/2020;Vegetables;freezer
53c44ebd-687e-4201-9468-dcbef03248b6;€79,34;Blue Curacao - Marie Brizard;9/25/2020;Alcohol;fridge
04cc2d6c-ae1d-44db-9f45-c57bed2c1023;€11,18;Nantucket - Carrot Orange;6/14/2020;Fruits;normal
06cb2fe9-9886-4cda-b63c-af1ee5801cd8;€29,73;Noodles - Steamed Chow Mein;5/12/2020;Fruits;freezer
e49b0170-f036-457d-8cd9-2ebef56ae677;€37,72;Heavy Duty Dust Pan;6/30/2020;Fruits;freezer
78a4672f-4677-4365-86de-b87dbfa4a590;€34,81;Tomatoes;1/29/2020;Vegetables;normal
f24bf2f7-0341-4b2b-9490-0563072464c1;€32,28;Oil - Shortening,liqud, Fry;1/4/2020;Sweets;normal
c8985f8d-0042-4c17-a88d-73a4f30fdde1;€99,39;Appetizer - Mango Chevre;5/19/2020;Fruits;fridge
9556ee29-8df3-4589-be17-6d47a2b7e18b;€81,62;Wine - Ruffino Chianti Classico;7/15/2020;Alcohol;fridge
72db01da-2e85-4065-99a1-41cf2631dabc;€76,71;Lamb - Loin Chops;9/21/2020;Sweets;freezer
6f76b838-3b02-4fa7-be6b-4298fec54530;€75,88;Tea - Green;10/22/2020;Fruits;fridge
122916e6-0d7c-4ac6-87b1-05452bf2dfca;€57,61;Juice - V8, Tomato;9/30/2020;Fruits;fridge
259235e3-f6dc-456e-8a5f-7da786aaca8e;€26,59;Chilli Paste, Sambal Oelek;1/14/2020;Vegetables;fridge
8a7a3e4d-f522-44a0-a2af-426664bb378a;€47,52;Lamb - Loin, Trimmed, Boneless;5/25/2020;Sweets;normal
4fe088e7-9f13-484b-bafc-d38327320500;€55,36;Shrimp - 21/25, Peel And Deviened;10/1/2020;Fruits;fridge
7b5cdcdb-f088-4651-b762-251088f53385;€36,40;Beef - Salted;5/4/2020;Alcohol;fridge
933b9dd1-faa7-44c7-a0aa-26b20b16aed2;€53,64;Doilies - 12, Paper;8/19/2020;Sweets;freezer
39ec3c6d-165b-4d37-91b1-0bcce52e9f55;€43,31;Vodka - Hot, Lnferno;10/30/2020;Alcohol;normal
24923c6b-19bb-4c65-b6cb-280614596f8a;€78,96;Pasta - Spaghetti, Dry;1/7/2020;Sweets;freezer
f5c8d736-8258-492e-9edc-383a7957b6df;€6,91;Soupcontfoam16oz 116con;3/20/2020;Alcohol;freezer
53a100fb-25c8-4a86-8990-c6ce467be1cc;€48,34;Wine - Red, Pinot Noir, Chateau;6/12/2020;Alcohol;freezer
673405e5-f3eb-43ef-8dd4-47c5c471163c;€10,55;Star Fruit;10/12/2020;Sweets;fridge
916f8c00-19f7-4eed-9315-fdce119c4187;€97,91;Pasta - Fettuccine, Egg, Fresh;10/31/2020;Sweets;normal
e097a61e-4824-43bc-a21a-93c8f7fe998b;€84,55;Cookies - Englishbay Oatmeal;9/4/2020;Fruits;freezer
312d1ad5-5e0e-448d-8480-2446a2433f28;€55,06;Mushroom - Morel Frozen;5/17/2020;Fruits;freezer
511ea61a-30a4-456c-be6c-f289656b9604;€37,95;Cocoa Powder - Dutched;12/25/2019;Fruits;fridge
c605f2a8-ed47-4569-b457-91b093c71345;€73,39;Wine - Conde De Valdemar;4/17/2020;Sweets;freezer
6014b2b0-357c-4c8b-970f-970ae696c0d3;€25,47;Bread - White, Unsliced;11/3/2020;Sweets;freezer
9a2d832b-2688-4ad6-af90-b42b63d57a7e;€42,91;Sauce - Soy Low Sodium - 3.87l;3/30/2020;Sweets;freezer
28d80a26-97ac-4cd1-9faa-133cf495c733;€12,27;Kiwano;12/21/2019;Sweets;freezer
83c60a04-06b2-4b4a-ac29-281914a5029d;€12,14;Scallops - 20/30;5/8/2020;Sweets;freezer
9ddaf630-614d-4593-8571-5842c02973cb;€95,55;Basil - Primerba, Paste;7/18/2020;Sweets;normal
479a2c05-bb4a-4fb8-888c-c46f7b91a5f6;€23,96;Coffee Cup 8oz 5338cd;7/31/2020;Alcohol;fridge
990e6359-4150-4e3d-b13a-eca0cfef6d1e;€89,66;Scallops 60/80 Iqf;4/2/2020;Alcohol;fridge
006cd250-f9c0-4497-a01c-96cd289d1cb9;€78,34;Beets - Pickled;11/26/2019;Fruits;fridge
bdbab4d4-78d2-43df-8115-f160b49efc30;€25,54;Pea - Snow;8/31/2020;Sweets;fridge
e62c41fe-0df0-4904-a635-056f8ec994bb;€17,85;Flower - Potmums;2/5/2020;Alcohol;freezer
b1c85a76-f26c-4658-88ce-1f20072b3c53;€77,32;Water Chestnut - Canned;6/28/2020;Fruits;fridge
0b656662-4cd3-4280-bf4d-efb70fd3f7e0;€98,21;Dehydrated Kelp Kombo;4/2/2020;Fruits;normal
e619f77b-ff4f-41c6-ac83-83a7de944d4b;€84,15;Wine - White, Schroder And Schyl;10/19/2020;Vegetables;normal
96be416c-e286-4fb6-ae02-cf9efde2e5c6;€88,16;Venison - Liver;5/2/2020;Alcohol;normal
a33ae8c5-c7b1-4ca4-8b0b-baca0792736e;€14,31;Pears - Bosc;12/21/2019;Vegetables;normal
7ab1946a-ffc2-4424-914e-c103946f7d97;€6,80;Bag Stand;11/5/2020;Alcohol;freezer
556af353-4961-48b5-bfd7-360f1d1ac861;€93,23;Lid - 3oz Med Rec;12/26/2019;Vegetables;freezer
3236ce5e-ddb5-46e2-81ca-d2a6c022eabd;€53,96;Bread - Flat Bread;11/27/2019;Fruits;normal
c6607adb-86ac-4bee-9aab-eb0088b16e69;€44,54;Muffins - Assorted;4/8/2020;Sweets;fridge
04eddebf-e0bb-432e-8b8f-586656d2fe7e;€32,99;Silicone Parch. 16.3x24.3;4/11/2020;Alcohol;freezer
3e0d5339-c840-4dfb-b607-6bfa7c98445e;€78,31;Tomatoes - Heirloom;9/23/2020;Vegetables;normal
7ad95fe7-e3dc-4ab0-ba32-37794d087511;€3,41;Red Pepper Paste;7/28/2020;Alcohol;freezer
67c0251a-e8ea-4988-82a6-0cb47e1c862a;€21,94;Five Alive Citrus;3/4/2020;Fruits;fridge
2c627ed8-436c-4da2-8faa-7802d74977e7;€68,35;Glass - Juice Clear 5oz 55005;11/12/2020;Alcohol;normal
d0eedcf6-c278-404b-84cf-ca3e984185d9;€19,80;Mousse - Passion Fruit;6/28/2020;Alcohol;normal
d9a00b6b-992a-4482-8e8b-dd349775be78;€4,30;Soup - Base Broth Chix;7/27/2020;Fruits;normal
22be6b53-2abc-4b4d-b35f-105043cb8b33;€88,17;Tuna - Yellowfin;8/31/2020;Sweets;freezer
020e95b0-e7a1-495c-94a9-36a480a5a91e;€68,91;Dehydrated Kelp Kombo;5/25/2020;Alcohol;freezer
2e5cb242-46f8-419e-b5e6-80814f8cd641;€16,03;Barley - Pearl;12/13/2019;Fruits;freezer
5477e8ce-3b02-459c-81d9-399b571d48d3;€10,62;Pork - Tenderloin, Frozen;6/23/2020;Vegetables;freezer
477af596-f5bb-4b5e-8eb8-915ab15e1c13;€44,33;Spring Roll Wrappers;5/28/2020;Sweets;freezer
c4ed4d42-381f-41db-82bb-5e006eeb1f45;€72,33;Jolt Cola - Electric Blue;6/25/2020;Vegetables;normal
b9e60b7d-9d8a-4371-8ceb-3267c46c62aa;€97,52;Fireball Whisky;8/10/2020;Alcohol;freezer
5657f68e-ce9d-4166-afd2-29ee16ebdc8f;€29,25;Gelatine Leaves - Bulk;10/2/2020;Sweets;normal
752ec07f-9d18-4158-953c-cad6c1a72b0c;€12,06;Wine - Two Oceans Sauvignon;4/14/2020;Alcohol;fridge
6532a77b-2624-438e-a514-e700b8ef2dad;€38,19;Bacardi Breezer - Strawberry;7/15/2020;Sweets;freezer
37ce9b67-f9ed-4d79-bdc9-f20910b1ad15;€50,64;Cheese - Cheddar, Medium;12/23/2019;Fruits;freezer
6b25e8e8-8e87-4cec-b865-1738f71f5e74;€1,85;Wine - Wyndham Estate Bin 777;10/6/2020;Sweets;normal
b8ad073d-046f-4457-abbf-7dc39aab0bea;€68,90;Sole - Iqf;11/28/2019;Sweets;normal
c0dee708-0d76-4098-b28c-5f7fe79808f5;€78,83;Blueberries - Frozen;10/23/2020;Vegetables;fridge
fe11d351-839d-47b2-a900-b98d74e28f3f;€63,51;Bagelers - Cinn / Brown Sugar;3/6/2020;Vegetables;freezer
01db7e3a-7282-4f7b-bee7-90262982de7c;€52,80;Soup - Knorr, Chicken Noodle;12/23/2019;Vegetables;normal
84de26f2-6ab0-4f3d-9112-dc004518ff1c;€14,74;Wine - Vovray Sec Domaine Huet;12/11/2019;Fruits;freezer
f0ff9c6a-fa26-460d-90b6-8bba088105bf;€7,52;Ice Cream - Chocolate;7/22/2020;Sweets;freezer
7578588b-0a53-4290-9b8a-fde042ae9e40;€88,07;Orange Roughy 6/8 Oz;12/19/2019;Sweets;fridge
f50f4e2a-71f6-4fe1-b9d0-f043f67ab1ea;€18,45;Wine - Jafflin Bourgongone;5/30/2020;Sweets;freezer
ba7ab97c-1a9f-4314-ad9d-c37c8fa2ed60;€15,26;Compound - Mocha;9/11/2020;Fruits;fridge
ebef3672-37bf-4366-83bb-026bba0e2865;€82,81;Sour Puss Sour Apple;12/2/2019;Sweets;normal
e9717adc-e43d-4d18-9d86-ed105b4fd026;€0,86;Club Soda - Schweppes, 355 Ml;11/17/2020;Fruits;freezer
c37e98c1-fe32-4d1d-bfad-88a468bafc2a;€90,76;Pear - Asian;12/24/2019;Vegetables;freezer
60de6670-50d9-44dc-b319-5ef356479145;€39,08;Wine - Alicanca Vinho Verde;7/12/2020;Vegetables;fridge
9f76ef73-22a5-471e-a86d-8b81703f5d87;€72,22;Wine - Saint - Bris 2002, Sauv;9/10/2020;Vegetables;fridge
4a23ace7-c0b0-464f-9b85-c3fabeb183a2;€34,13;Cream - 35%;7/21/2020;Fruits;fridge
fdbca353-0b0f-4142-9c6d-4004a4052af0;€71,80;Red Pepper Paste;1/8/2020;Sweets;freezer
1036caae-6d8d-44c9-8bcf-4d209ee15796;€18,15;Pastry - Plain Baked Croissant;1/15/2020;Vegetables;fridge
